id,title,state,created_at,closed_at
2509523411,[Snyk] Fix for 12 vulnerabilities,open,2024-09-06T05:03:46+00:00,Not Closed
2433254187,[Snyk] Security upgrade firebase-admin from 8.9.2 to 12.0.0,open,2024-07-27T05:05:28+00:00,Not Closed
2347381065,[Snyk] Security upgrade firebase-admin from 8.9.2 to 11.1.0,open,2024-06-11T22:02:46+00:00,Not Closed
2049524950,[Snyk] Security upgrade firebase-admin from 8.9.2 to 9.0.0,open,2023-12-19T22:20:01+00:00,Not Closed
2027306748,[Snyk] Security upgrade firebase-admin from 8.9.2 to 11.1.0,open,2023-12-05T23:29:02+00:00,Not Closed
2012608850,[Snyk] Security upgrade firebase-admin from 8.9.2 to 10.3.0,open,2023-11-27T16:04:24+00:00,Not Closed
1765910138,[Snyk] Fix for 1 vulnerabilities,open,2023-06-20T18:16:21+00:00,Not Closed
1525478695,"Bump jsonwebtoken, firebase-admin and firebase-functions in /hack_a_project/functions",open,2023-01-09T12:13:38+00:00,Not Closed
1508730571,[Snyk] Fix for 4 vulnerabilities,open,2022-12-23T01:01:37+00:00,Not Closed
1490815470,Bump express from 4.17.1 to 4.18.2 in /hack_a_project/functions,open,2022-12-12T03:06:31+00:00,Not Closed
1481491099,Bump qs and express in /hack_a_project/functions,open,2022-12-07T09:51:57+00:00,Not Closed
1367188203,[Snyk] Upgrade firebase-admin from 8.9.2 to 8.13.0,open,2022-09-09T02:09:47+00:00,Not Closed
1367188174,[Snyk] Upgrade firebase-functions from 3.3.0 to 3.22.0,open,2022-09-09T02:09:44+00:00,Not Closed
1258777259,Bump protobufjs from 6.8.8 to 6.11.3 in /hack_a_project/functions,open,2022-06-02T21:35:40+00:00,Not Closed
1232049733,[Snyk] Upgrade firebase-admin from 8.9.2 to 8.13.0,open,2022-05-11T05:54:39+00:00,Not Closed
1232049682,[Snyk] Upgrade firebase-functions from 3.3.0 to 3.20.1,open,2022-05-11T05:54:36+00:00,Not Closed
1135043817,Bump ajv from 6.12.0 to 6.12.6 in /hack_a_project/functions,open,2022-02-13T02:49:24+00:00,Not Closed
1111448969,Bump node-fetch from 2.6.0 to 2.6.7 in /hack_a_project/functions,open,2022-01-22T10:50:08+00:00,Not Closed
885993103,Bump lodash from 4.17.15 to 4.17.21 in /hack_a_project/functions,open,2021-05-11T04:54:23+00:00,Not Closed
700284355,Bump node-fetch from 2.6.0 to 2.6.1 in /hack_a_project/functions,closed,2020-09-12T15:57:49+00:00,2022-01-22T10:50:11+00:00
660975127,Bump lodash from 4.17.15 to 4.17.19 in /hack_a_project/functions,closed,2020-07-19T17:57:41+00:00,2021-05-11T04:54:25+00:00
633821071,Bump websocket-extensions from 0.1.3 to 0.1.4 in /hack_a_project/functions,open,2020-06-07T22:25:02+00:00,Not Closed
594703483,Bump acorn from 6.4.0 to 6.4.1 in /hack_a_project/functions,open,2020-04-05T23:20:03+00:00,Not Closed
573361548,Testbranch,closed,2020-02-29T17:57:40+00:00,2020-02-29T18:00:10+00:00
573308044,Added files to my branch,closed,2020-02-29T14:48:39+00:00,2020-02-29T14:50:32+00:00
