id,title,created_at,merged_at,user
2057200288,[Snyk] Fix for 12 vulnerabilities,2024-09-06T05:03:46+00:00,Not Merged,cwlroda
1990358311,[Snyk] Security upgrade firebase-admin from 8.9.2 to 12.0.0,2024-07-27T05:05:28+00:00,Not Merged,cwlroda
1915345797,[Snyk] Security upgrade firebase-admin from 8.9.2 to 11.1.0,2024-06-11T22:02:46+00:00,Not Merged,cwlroda
1651154118,[Snyk] Security upgrade firebase-admin from 8.9.2 to 9.0.0,2023-12-19T22:20:01+00:00,Not Merged,cwlroda
1631387895,[Snyk] Security upgrade firebase-admin from 8.9.2 to 11.1.0,2023-12-05T23:29:02+00:00,Not Merged,cwlroda
1618271786,[Snyk] Security upgrade firebase-admin from 8.9.2 to 10.3.0,2023-11-27T16:04:24+00:00,Not Merged,cwlroda
1400307280,[Snyk] Fix for 1 vulnerabilities,2023-06-20T18:16:21+00:00,Not Merged,cwlroda
1190688764,"Bump jsonwebtoken, firebase-admin and firebase-functions in /hack_a_project/functions",2023-01-09T12:13:38+00:00,Not Merged,dependabot[bot]
1175877228,[Snyk] Fix for 4 vulnerabilities,2022-12-23T01:01:37+00:00,Not Merged,snyk-bot
1159874369,Bump express from 4.17.1 to 4.18.2 in /hack_a_project/functions,2022-12-12T03:06:31+00:00,Not Merged,dependabot[bot]
1151171966,Bump qs and express in /hack_a_project/functions,2022-12-07T09:51:57+00:00,Not Merged,dependabot[bot]
1051020054,[Snyk] Upgrade firebase-admin from 8.9.2 to 8.13.0,2022-09-09T02:09:47+00:00,Not Merged,cwlroda
1051020027,[Snyk] Upgrade firebase-functions from 3.3.0 to 3.22.0,2022-09-09T02:09:44+00:00,Not Merged,cwlroda
956423265,Bump protobufjs from 6.8.8 to 6.11.3 in /hack_a_project/functions,2022-06-02T21:35:40+00:00,Not Merged,dependabot[bot]
933189917,[Snyk] Upgrade firebase-admin from 8.9.2 to 8.13.0,2022-05-11T05:54:39+00:00,Not Merged,cwlroda
933189874,[Snyk] Upgrade firebase-functions from 3.3.0 to 3.20.1,2022-05-11T05:54:36+00:00,Not Merged,cwlroda
849935944,Bump ajv from 6.12.0 to 6.12.6 in /hack_a_project/functions,2022-02-13T02:49:24+00:00,Not Merged,dependabot[bot]
829400933,Bump node-fetch from 2.6.0 to 2.6.7 in /hack_a_project/functions,2022-01-22T10:50:08+00:00,Not Merged,dependabot[bot]
639296491,Bump lodash from 4.17.15 to 4.17.21 in /hack_a_project/functions,2021-05-11T04:54:23+00:00,Not Merged,dependabot[bot]
485944682,Bump node-fetch from 2.6.0 to 2.6.1 in /hack_a_project/functions,2020-09-12T15:57:49+00:00,Not Merged,dependabot[bot]
452689393,Bump lodash from 4.17.15 to 4.17.19 in /hack_a_project/functions,2020-07-19T17:57:41+00:00,Not Merged,dependabot[bot]
430435567,Bump websocket-extensions from 0.1.3 to 0.1.4 in /hack_a_project/functions,2020-06-07T22:25:02+00:00,Not Merged,dependabot[bot]
399297747,Bump acorn from 6.4.0 to 6.4.1 in /hack_a_project/functions,2020-04-05T23:20:03+00:00,Not Merged,dependabot[bot]
381905758,Testbranch,2020-02-29T17:57:40+00:00,2020-02-29T18:00:10+00:00,claralebbos
381861187,Added files to my branch,2020-02-29T14:48:39+00:00,2020-02-29T14:50:32+00:00,claralebbos
